Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,0,0,0,0,1,36,18,0,6,7.804665327751799,6.740130560654829,14.544795888406627,0.000212,0.925846,0.724016,0.323933,0.836286,0.685285,0.418716,0.246102,-0.04792418195789838
2,Panthers,0,0,0,0,3,32,16,0,8,0.7129120945395436,8.870956066509851,9.583868161049395,0.002039,0.799834,0.491309,0.134758,0.65645,0.473632,0.247356,0.126099,-0.07829199335200081
3,Cowboys,0,0,0,0,2,32,16,0,8,8.724798346570555,-1.0165061301420288,7.708292216428529,0.002355,0.796036,0.495136,0.139631,0.65571,0.478268,0.254664,0.13161,-0.21875402898083793
4,Roosters,0,0,0,0,4,30,15,0,9,8.652496333391634,-1.8986625399019692,6.753833793489666,0.003613,0.729755,0.410602,0.101433,0.577431,0.403436,0.207113,0.103751,-0.05715506574060022
5,Sharks,0,0,0,0,6,28,14,0,10,0.30778059365587684,4.88805688005787,5.1958374737137465,0.007206,0.629785,0.302506,0.060399,0.475228,0.312452,0.152591,0.073704,0.7184785619138229
6,Manly,0,0,0,0,5,28,14,0,10,4.604135505663815,0.12126472695392976,4.725400232617745,0.006605,0.667686,0.33997,0.071181,0.509358,0.339393,0.165295,0.079867,-0.09455561862345145
7,Bulldogs,0,0,0,0,7,28,14,0,10,-0.46632152462405485,3.1297754715592574,2.6634539469352023,0.008858,0.622146,0.291521,0.051239,0.454337,0.287235,0.131796,0.059847,-0.6201767801449393
8,Knights,0,0,0,0,8,26,13,0,11,-6.456168842485141,8.252859090375896,1.796690247890758,0.009326,0.574903,0.248777,0.039825,0.40681,0.246987,0.107834,0.046923,-0.6651744357771772
9,Warriors,0,0,0,0,9,24,12,0,12,-0.6177976249886901,-0.9116192050638134,-1.5294168300525017,0.026864,0.444777,0.162305,0.019855,0.292293,0.164082,0.067055,0.027954,-1.2954357588716714
10,Raiders,0,0,0,0,10,24,12,0,12,-4.212248135658637,2.5661105149097,-1.646137620748934,0.027096,0.423865,0.146653,0.017026,0.276099,0.15298,0.062408,0.026162,-1.0432065746396397
11,Eels,0,0,0,0,12,22,11,0,13,6.74989240804033,-9.201660316748422,-2.4517679087080886,0.041974,0.341179,0.113889,0.014488,0.225767,0.128783,0.05579,0.024627,0.6147625388114343
12,Dolphins,0,0,0,0,11,22,11,0,13,-4.167247348790891,1.586374209408194,-2.580873139382698,0.030804,0.374796,0.122752,0.014373,0.242475,0.133445,0.054475,0.022886,-0.4055959867443648
13,Dragons,0,0,0,0,13,18,9,0,15,3.03367826079136,-8.93779992862445,-5.9041216678330875,0.081425,0.222909,0.060055,0.005453,0.137099,0.071864,0.028853,0.011976,0.40692929403291567
14,Titans,0,0,0,0,14,18,9,0,15,-3.943873453239269,-3.333716727841779,-7.277590181081046,0.101079,0.17949,0.040619,0.002982,0.103672,0.050332,0.018986,0.007555,-0.33515182967849794
15,Broncos,0,0,0,0,15,16,8,0,16,-2.0760404498682967,-6.195786299015682,-8.271826748883978,0.127945,0.141011,0.029625,0.002317,0.081972,0.040205,0.015435,0.006316,0.7793875310557423
16,Rabbitohs,0,0,0,0,16,14,7,0,17,-4.546394552891897,-5.302627145398056,-9.84902169828995,0.198436,0.082431,0.013964,0.000832,0.045971,0.021466,0.008149,0.003294,1.3264162252410345
17,Tigers,0,0,0,0,17,12,6,0,18,-1.6905894996552973,-11.770826665896081,-13.461416165551379,0.324163,0.043551,0.006301,0.000275,0.023042,0.010155,0.003484,0.001327,1.015448103456135
