, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights, Dragons, Knights
, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm, Titans, Titans, Storm, Storm
, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers, Cowboys, Cowboys, Cowboys, Cowboys, Tigers, Tigers, Tigers, Tigers
, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos
, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors
, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels
, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders
Storm, 12.364605899016832, 12.04117304330938, 31.098013411919528, 30.59360730593607, 13.218390804597702, 14.063556457065584, 33.66316433744772, 32.86141804788213, 13.291523366376696, 11.596312469674915, 31.089709291956485, 30.05535656138066, 14.094955489614245, 11.11111111111111, 32.87379370848477, 32.10981796478663, 10.459183673469388, 10.67352875363616, 28.116649058479897, 27.67282018064702, 11.676145868183339, 11.568322981366459, 30.15783221134808, 29.90568509300498, 10.344036697247706, 9.086050240513096, 27.605789328390586, 27.25782957028405, 11.864406779661017, 12.757201646090536, 29.785114558132914, 29.062710721510456, 12.449906492118622, 12.698907956318253, 30.916951080773607, 30.050346129641287, 13.548698167791706, 13.811007268951196, 32.95249054742725, 31.882970742685675, 12.671905697445974, 12.346688470973017, 31.010850942318672, 30.128720836685442, 13.070283600493218, 10.81081081081081, 31.507413509060957, 32.66533066132264, 10.876787519861333, 10.113107119095142, 27.80855531102173, 27.12414512576794, 12.669193286410396, 9.705159705159705, 29.884419787332412, 28.262239966379493, 10.936916759985069, 10.32986111111111, 28.06255984679221, 26.92753623188406, 10.977242302543507, 9.116809116809117, 29.146648364218713, 29.84536082474227, 8.640792205717936, 7.1301880099326, 24.247040273657767, 23.370030581039757, 10.278745644599303, 8.854166666666668, 25.882240122746452, 25.30685114929703, 8.393574297188755, 8.093525179856115, 23.19653843553512, 23.25939617991374, 10.28169014084507, 9.25925925925926, 27.617675312199808, 24.387588459444746, 7.089285714285714, 7.151418298042349, 22.119705943629274, 21.50797486708555, 8.306503541532518, 8.708272859216255, 24.22865595942519, 22.99016078713703, 7.061310782241015, 7.051909892262488, 21.450265755504937, 21.099200272247746, 9.477124183006536, 6.015037593984962, 23.60103626943005, 23.41244387427838, 8.593363051015354, 8.528528528528529, 23.93462522217887, 22.60555611272691, 10.94306049822064, 8.669354838709678, 26.369075011504833, 24.77096546863989, 9.54516335682255, 8.419497784342688, 23.051663747810856, 22.911877394636015, 8.428246013667426, 8.47457627118644, 25.06941689805633, 21.72797262617622, 7.570715474209651, 7.373271889400922, 22.30904010986409, 21.22345692595445, 8.128544423440454, 8.061002178649238, 23.728216863228305, 23.92957182873149, 6.326383896477354, 7.568438003220612, 20.38916079742151, 20.786516853932586, 10.56701030927835, 10.989010989010989, 22.662771285475795, 22.624877571008813
Roosters, 5.782369605065822, 4.797047970479705, 3.848576908538549, 3.78574435700638, 6.47307924984876, 6.288032454361055, 4.3966132816484755, 4.120626151012892, 5.8061905725268055, 4.85201358563804, 3.805956839664705, 3.6958645392380336, 5.637982195845697, 6.228956228956229, 4.198521117934578, 4.595643091614444, 4.300291545189505, 4.251510405012307, 2.9255484432291343, 3.0875526287379897, 4.349280695884912, 5.434782608695652, 3.2358431860609835, 3.2748231595493844, 4.495412844036697, 4.275788348476751, 3.2929762984580195, 3.359431900946832, 4.549509366636931, 4.938271604938271, 3.5861676391063044, 2.832097100472016, 5.263157894736842, 5.210608424336974, 3.736063708759955, 3.9647577092511015, 5.593056894889104, 4.361370716510903, 4.31530494821634, 3.8634658664666164, 4.649639816633923, 5.8871627146361405, 3.8149628783552254, 3.888441941539287, 5.6720098643649814, 6.216216216216217, 4.118616144975288, 4.208416833667335, 4.261158457316192, 4.1583499667332005, 2.962232172219271, 2.7877593601483714, 4.114780725500812, 3.6855036855036856, 2.968099861303745, 3.0258457659172096, 4.404628592758493, 4.861111111111112, 3.1918289179699966, 3.231884057971014, 4.417670682730924, 2.564102564102564, 3.431708991077557, 2.88659793814433, 0.4472129052866954, 0.35473572188719404, 0.3313824527646383, 0.3302752293577982, 0.40650406504065045, 0.390625, 0.364403528960491, 0.2901138138808302, 0.321285140562249, 0.3597122302158274, 0.3650868771550267, 0.2618607516943931, 0.14084507042253522, 0.6172839506172839, 0.43227665706051877, 0.32661948829613496, 0.2857142857142857, 0.3595685177786656, 0.2381023244739427, 0.2623765794379617, 0.38634900193174504, 0.29027576197387517, 0.22189349112426035, 0.14398848092152627, 0.2959830866807611, 0.2938295788442703, 0.2885345482156416, 0.2892632295388804, 0.32679738562091504, 0.7518796992481203, 0.18134715025906736, 0.06414368184733803, 0.396235760277365, 0.36036036036036034, 0.2384358607534573, 0.19055260254738743, 0.1779359430604982, 0.4032258064516129, 0.38349440098174564, 0.24665257223396758, 0.3203074951953876, 0.29542097488921715, 0.2736427320490368, 0.35759897828863346, 0.45558086560364464, 0.5649717514124294, 0.19833399444664812, 0.42771599657827203, 0.27731558513588467, 0.19749835418038184, 0.14680115546715916, 0.1320277258224227, 0.1890359168241966, 0.4357298474945534, 0.2816405562400986, 0.36014405762304924, 0.503235082674335, 0.1610305958132045, 0.2506864032469858, 0.11235955056179776, 0.0, 0.5494505494505495, 0.20868113522537562, 0.1958863858961802
Bulldogs, 37.743709381769705, 39.250339871819776, 30.682215906704556, 31.54894912400013, 37.20508166969147, 38.40432724814063, 31.495460573293887, 31.491712707182316, 36.92089823993526, 37.89422610383309, 30.954164437310506, 31.300879192445457, 36.20178041543027, 38.38383838383838, 31.607970923674642, 32.318710832587286, 35.03097667638484, 35.421794584918324, 28.599838418991986, 28.80996077584656, 33.757109401137505, 33.54037267080746, 29.13390281156305, 29.028032486245742, 35.06880733944954, 35.970069481560664, 28.725795638285284, 28.769118718135474, 34.43354148082069, 33.95061728395062, 28.233954745979794, 29.467296021577884, 38.47181405289874, 37.379095163806554, 31.731513083048917, 31.94881476819803, 38.813886210221796, 40.18691588785047, 31.842840703600196, 32.03300825206302, 38.70333988212181, 39.329517579721994, 31.359223300970875, 32.83722177527487, 40.32059186189889, 39.45945945945946, 32.49588138385502, 33.71743486973948, 35.374837498194424, 36.52694610778443, 29.579317497660064, 30.114755998609017, 34.380075798592316, 37.1007371007371, 30.106333795654184, 30.384534566085314, 35.90892123926838, 34.98263888888889, 28.77752952441749, 30.46376811594203, 40.02677376171352, 37.60683760683761, 30.702356440173872, 31.85567010309278, 28.174413033061814, 28.55622561191912, 23.760656351051605, 24.269113149847094, 28.86178861788618, 26.5625, 24.980820866896817, 25.039053782637804, 26.064257028112447, 28.327338129496404, 23.919951321749714, 24.014171287738755, 33.23943661971831, 27.469135802469136, 23.390970220941405, 24.27871529667937, 26.821428571428573, 25.809029165001995, 22.4292389654454, 22.661050887247118, 27.68834513844173, 29.172714078374458, 22.918427726120033, 23.206143508519318, 27.145877378435518, 25.465230166503428, 22.5208807896735, 23.328228688106176, 29.575163398692812, 26.31578947368421, 23.678756476683937, 22.450288646568314, 28.231797919762258, 29.72972972972973, 24.957731824684615, 25.223147126667335, 28.91459074733096, 31.653225806451612, 23.776652860868232, 26.004228329809724, 30.17296604740551, 28.95125553914328, 24.56217162872154, 24.904214559386972, 30.751708428246015, 31.07344632768362, 25.62475208250694, 26.603934987168522, 27.371048252911812, 26.991441737985518, 23.17564047923474, 23.974034547254924, 28.071833648393195, 28.322440087145967, 23.411371237458194, 23.369347739095637, 27.246585190510427, 25.442834138486315, 23.37352274083801, 23.117977528089888, 26.804123711340207, 23.626373626373624, 24.37395659432387, 25.17140058765916
