Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,38,19,0,5,167,659,492
2,Storm,34,17,0,7,270,698,428
3,Bulldogs,32,16,0,8,97,479,382
4,Warriors,32,16,0,8,72,538,466
5,Broncos,28,14,0,10,96,600,504
6,Sharks,28,14,0,10,71,575,504
7,Panthers,27,13,1,10,91,518,427
8,Dolphins,26,13,0,11,197,700,503
9,Manly,26,13,0,11,78,545,467
10,Roosters,24,12,0,12,13,584,571
11,Cowboys,19,9,1,14,-180,492,672
12,Dragons,18,9,0,15,-74,535,609
13,Tigers,18,9,0,15,-154,448,602
14,Knights,16,8,0,16,-127,355,482
15,Rabbitohs,16,8,0,16,-186,449,635
16,Eels,14,7,0,17,-206,441,647
17,Titans,12,6,0,18,-226,463,689
