, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Knights, Cowboys, Knights, Knights, Cowboys, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Knights, Cowboys, Cowboys, Cowboys, Knights, Cowboys, Knights, Knights, Cowboys, Knights, Cowboys, Cowboys, Knights, Cowboys, Cowboys, Knights, Knights
, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Bulldogs, Dragons, Dragons, Bulldogs, Dragons, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Dragons, Bulldogs, Bulldogs, Dragons, Bulldogs, Dragons
, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Storm, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Storm, Storm, Eels, Storm, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Storm, Storm, Storm, Eels, Eels, Eels, Storm, Storm, Storm, Storm, Eels, Eels, Eels, Eels, Storm, Storm, Eels, Eels, Storm, Eels, Eels, Storm, Storm, Storm, Storm, Storm, Storm, Eels, Eels
, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Warriors, Warriors, Warriors, Roosters, Roosters, Roosters, Roosters, Roosters
, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers
, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans
, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders
, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs, Rabbitohs
Storm, 27.27272727272727, 16.666666666666664, 0.0, 14.285714285714285, 20.0, 33.33333333333333, 0.0, 50.0, 27.77777777777778, 29.72972972972973, 22.22222222222222, 30.76923076923077, 25.0, 0.0, 0.0, 40.0, 45.45454545454545, 15.789473684210526, 28.57142857142857, 20.0, 9.090909090909092, 0.0, 50.0, 31.818181818181817, 18.75, 18.181818181818183, 30.0, 0.0, 12.5, 0.0, 0.0, 16.666666666666664, 100.0, 0.0, 0.0, 25.0, 0.0, 60.0, 0.0, 0.0, 100.0, 25.0, 50.0, 50.0, 100.0, 33.33333333333333, 60.0, 0.0, 0.0, 0.0, 0.0, 33.33333333333333, 26.666666666666668, 20.0, 50.0, 14.285714285714285, 16.666666666666664, 0.0, 0.0, 31.818181818181817, 23.52941176470588, 50.0, 26.666666666666668, 0.0, 22.22222222222222, 0.0, 0.0, 16.666666666666664, 8.333333333333332, 33.33333333333333, 57.14285714285714, 20.0, 16.666666666666664, 50.0, 0.0, 38.46153846153847, 21.428571428571427, 40.0, 33.33333333333333, 16.666666666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 66.66666666666666, 50.0, 0.0, 0.0, 0.0, 50.0, 50.0, 0.0, 100.0, 33.33333333333333, 33.33333333333333, 0.0, 20.0, 66.66666666666666, 16.666666666666664, 0.0, 0.0, 50.0, 14.285714285714285, 17.647058823529413, 28.57142857142857, 0.0, 33.33333333333333, 14.285714285714285, 50.0, 0.0, 14.285714285714285, 50.0, 50.0, 0.0, 0.0, 0.0, 6.25, 22.22222222222222, 0.0, 25.0, 60.0, 0.0, 100.0, 0.0, 100.0, 0.0, 33.33333333333333, 0.0, 0.0, 100.0, 66.66666666666666, 0.0, 50.0, 100.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 50.0, 14.285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 33.33333333333333, 0.0, 0.0, 40.0, 50.0, 50.0, 0.0, 0.0, 44.44444444444444, 33.33333333333333, 20.0, 20.0, 0.0, 16.666666666666664, 0.0, 0.0, 50.0, 0.0, 0.0, 50.0, 66.66666666666666, 50.0, 33.33333333333333, 100.0, 100.0, 50.0, 0.0, 100.0, 33.33333333333333, 0.0, 0.0
Panthers, 9.090909090909092, 16.666666666666664, 20.0, 42.857142857142854, 40.0, 0.0, 0.0, 50.0, 11.11111111111111, 18.91891891891892, 0.0, 11.538461538461538, 50.0, 25.0, 40.0, 0.0, 9.090909090909092, 42.10526315789473, 28.57142857142857, 0.0, 36.36363636363637, 80.0, 50.0, 18.181818181818183, 31.25, 27.27272727272727, 20.0, 50.0, 37.5, 0.0, 0.0, 16.666666666666664, 0.0, 100.0, 0.0, 25.0, 100.0, 0.0, 0.0, 100.0, 0.0, 25.0, 0.0, 25.0, 0.0, 0.0, 40.0, 0.0, 33.33333333333333, 0.0, 50.0, 11.11111111111111, 13.333333333333334, 40.0, 0.0, 0.0, 16.666666666666664, 50.0, 0.0, 18.181818181818183, 0.0, 0.0, 20.0, 0.0, 11.11111111111111, 0.0, 0.0, 33.33333333333333, 25.0, 16.666666666666664, 14.285714285714285, 60.0, 33.33333333333333, 0.0, 100.0, 30.76923076923077, 32.142857142857146, 30.0, 11.11111111111111, 41.66666666666667, 50.0, 100.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 25.0, 100.0, 33.33333333333333, 0.0, 0.0, 100.0, 25.0, 0.0, 0.0, 100.0, 100.0, 100.0, 25.0, 50.0, 0.0, 0.0, 0.0, 33.33333333333333, 0.0, 10.0, 0.0, 33.33333333333333, 50.0, 0.0, 0.0, 14.285714285714285, 17.647058823529413, 14.285714285714285, 0.0, 33.33333333333333, 28.57142857142857, 0.0, 50.0, 0.0, 0.0, 0.0, 33.33333333333333, 0.0, 0.0, 31.25, 27.77777777777778, 25.0, 25.0, 20.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 100.0, 50.0, 60.0, 0.0, 0.0, 50.0, 0.0, 50.0, 14.285714285714285, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 12.5, 0.0, 50.0, 0.0, 0.0, 25.0, 0.0, 50.0, 50.0, 33.33333333333333, 100.0, 22.22222222222222, 25.0, 40.0, 0.0, 33.33333333333333, 33.33333333333333, 33.33333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 60.0, 0.0, 66.66666666666666, 0.0, 0.0
Roosters, 18.181818181818183, 8.333333333333332, 20.0, 14.285714285714285, 0.0, 0.0, 100.0, 0.0, 16.666666666666664, 18.91891891891892, 22.22222222222222, 11.538461538461538, 0.0, 0.0, 60.0, 20.0, 9.090909090909092, 0.0, 28.57142857142857, 0.0, 9.090909090909092, 20.0, 0.0, 13.636363636363635, 18.75, 9.090909090909092, 30.0, 0.0, 12.5, 66.66666666666666, 50.0, 33.33333333333333, 0.0, 0.0, 40.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 11.11111111111111, 6.666666666666667, 0.0, 50.0, 0.0, 16.666666666666664, 0.0, 0.0, 13.636363636363635, 11.76470588235294, 16.666666666666664, 20.0, 0.0, 22.22222222222222, 0.0, 25.0, 0.0, 8.333333333333332, 16.666666666666664, 0.0, 20.0, 0.0, 50.0, 0.0, 23.076923076923077, 21.428571428571427, 20.0, 33.33333333333333, 33.33333333333333, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 12.5, 0.0, 0.0, 0.0, 100.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 33.33333333333333, 0.0, 0.0, 10.0, 0.0, 16.666666666666664, 0.0, 0.0, 0.0, 14.285714285714285, 17.647058823529413, 14.285714285714285, 40.0, 0.0, 42.857142857142854, 0.0, 0.0, 14.285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 18.75, 16.666666666666664, 25.0, 8.333333333333332, 0.0, 16.666666666666664, 0.0, 0.0, 0.0, 100.0, 33.33333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 100.0, 50.0, 33.33333333333333, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.33333333333333, 0.0, 20.0, 0.0, 0.0, 33.33333333333333, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 100.0
