, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins, Sharks, Dolphins
, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm, Knights, Knights, Storm, Storm
, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters, Dragons, Dragons, Dragons, Dragons, Roosters, Roosters, Roosters, Roosters
, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs, Bulldogs
, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Warriors, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers
, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Eels, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers, Panthers
, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos
Storm, 98.16124469589816, 98.46774193548387, 100.0, 99.86351228389445, 98.03020354563363, 97.23098492814582, 99.74135143873262, 99.68921389396709, 98.2843137254902, 97.9916067146283, 99.74719101123596, 99.90723562152134, 97.6460331299041, 97.77405457156534, 99.83568075117371, 99.84287023700405, 98.32474226804123, 98.44413012729845, 100.0, 99.77933063626332, 97.40259740259741, 97.75811209439527, 99.728555917481, 99.74118408282109, 98.29749103942652, 98.18538499264345, 99.86181483187471, 99.89293361884368, 97.32582688247713, 97.84142797841427, 99.84411535463757, 99.72948602344455, 97.88445890968266, 97.65990639625585, 99.80506822612085, 99.76955730745907, 97.02009702009701, 96.92073750237597, 99.79820216474042, 99.59003792149225, 98.07638695288541, 98.23122688535135, 99.8529195469922, 99.74304068522484, 96.92380501656413, 96.95909580193756, 99.74580579562786, 99.69374361965875, 98.43962008141112, 97.73899246330822, 99.88950276243094, 99.89478114478115, 97.54529514903565, 97.67054908485858, 99.84418822062948, 99.74797479747974, 98.06389157792836, 97.86081776333604, 99.89957318604067, 99.86857476635514, 97.55911517925247, 97.79766001376461, 99.63259131186514, 99.80497318381278, 97.55918965096411, 98.07556247346824, 99.65058459884423, 99.81973508895682, 96.10528568371495, 96.6995904601301, 99.63644626221313, 99.69353155972874, 97.73771650759986, 97.62094365916782, 99.7150726564726, 99.69315416358057, 96.4035218624086, 96.65903502077504, 99.58346683755207, 99.616096833928, 97.81659388646288, 97.6580206497104, 99.74908759124088, 99.74233794412801, 96.75226586102718, 96.56061908856405, 99.53216374269006, 99.54954954954955, 97.34157650695518, 97.76170798898072, 99.83940902521277, 99.68147069530396, 96.82418699186992, 96.9758064516129, 99.63049130970303, 99.71483622350674, 97.17938029734611, 97.3155966225904, 99.62853460692897, 99.69987995198079, 95.84323040380048, 96.14896035301197, 99.40415171706817, 99.55021957784389, 97.01230228471002, 97.33282426093596, 99.68092896746522, 99.702836295163, 96.31234668847097, 96.01472325729347, 99.48369445302502, 99.58100214428315, 97.09443099273608, 97.67380034560681, 99.84457971765316, 99.78615146375635, 96.35922330097088, 96.38901707429626, 99.65771740293079, 99.57771843755822, 97.18586387434554, 97.48651859976236, 99.78605812087716, 99.75129428484418, 96.60288408208541, 96.60708636507435, 99.5787700084246, 99.69887182967173
Dolphins, 63.012729844413016, 87.86290322580645, 63.68316831683168, 88.26205641492265, 59.35653315824031, 86.89099193831055, 59.84481086323957, 87.40402193784278, 64.36274509803923, 91.15707434052757, 67.21910112359551, 90.56895485466913, 62.72885789014821, 89.58831977022498, 65.11737089201878, 89.70800052376588, 65.59278350515464, 90.16973125884017, 66.49006622516556, 90.87899963221773, 59.41558441558441, 87.31563421828909, 62.160694896851254, 88.67680362342284, 69.6236559139785, 91.66257969592938, 69.41501612160295, 91.32762312633832, 65.7283603096411, 90.74304690743047, 66.01714731098987, 90.71235347159603, 58.665581773799836, 87.14062848228214, 60.64544076239983, 88.3687083080655, 55.05890505890506, 85.57308496483557, 56.52173913043478, 85.72307061596803, 63.70225815444661, 89.0175269335906, 64.99485218414472, 90.26980728051392, 59.891150023663045, 87.37890204520991, 62.163192679206915, 88.47163482572553, 60.78697421981004, 87.82229274097581, 62.50460405156538, 88.55218855218855, 59.2635885447107, 86.82196339434276, 59.27080087254596, 87.25472547254725, 65.972894482091, 90.089358245329, 66.93447150389153, 91.22371495327103, 61.17467581998475, 88.69006652902041, 62.58915063756213, 88.6762554851292, 57.5787161337564, 86.67044007358143, 60.23383953769654, 87.32659299318128, 53.30622726300022, 84.78679836184052, 55.192001817768684, 85.36776212832551, 62.08907741251326, 89.13995620147323, 63.215879950612596, 89.96931541635806, 58.09580659603044, 86.95836513185789, 59.28388337071452, 87.85059392078045, 60.91703056768559, 88.23973810123394, 62.112226277372265, 88.25603471657175, 57.590634441087616, 86.04901117798796, 58.55750487329434, 87.07207207207207, 64.04945904173107, 90.54752066115702, 65.2802312510037, 90.95376774663268, 61.17886178861789, 88.3208525345622, 61.91323388531546, 88.97109826589596, 53.46672224538002, 85.41500716902979, 56.167083617618076, 85.49991425141485, 50.178147268408544, 82.37614494885338, 52.562788313685296, 82.84105397365066, 59.343878148799064, 87.89134940547616, 60.016738152526415, 88.24879369189127, 54.30089942763696, 85.0268108697628, 55.822779224217825, 86.16074729499914, 57.481840193704606, 86.04280207364083, 59.39645123688641, 86.99210972642135, 54.490291262135926, 84.05629903091832, 54.59407423253823, 84.3817922126312, 62.516361256544506, 89.0412210949639, 62.07880192547691, 89.6609481270937, 57.77870216306157, 86.96614995254667, 59.117714635827525, 87.59012638900671
Raiders, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9872902897814, 99.99270818142044, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.98539719626169, 100.0, 99.97705895847672, 100.0, 100.0, 99.97559189650964, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9869587897757, 100.0, 100.0, 100.0, 99.99470955454449, 100.0, 99.99152039345375, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.96223564954683, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.99089916272297, 100.0, 100.0, 99.98631449295196, 100.0, 100.0, 99.992034411343, 99.99241907361079, 99.98713771222775, 100.0, 99.99331416727954, 100.0, 99.99645842187279, 99.99023628197618, 100.0, 99.98430798200648, 99.99411557020125, 99.99182338511856, 99.99091156957194, 99.99117426415427, 99.99014122692431, 100.0, 100.0, 100.0, 100.0, 99.97977346278317, 100.0, 99.98930366884159, 99.99378997702291, 99.9836387434555, 100.0, 100.0, 100.0, 100.0, 99.9920911104081, 100.0, 99.99151751632877
