Rank,Team,Points,Wins,Draws,Losses,PD,Points For,Points Against
1,Raiders,36,18,0,6,140,630,490
2,Storm,34,17,0,7,264,690,426
3,Bulldogs,32,16,0,8,123,516,393
4,Warriors,30,15,0,9,31,516,485
5,Dolphins,26,13,0,11,219,716,497
6,Broncos,26,13,0,11,85,621,536
7,Panthers,25,12,1,11,44,476,432
8,Manly,24,12,0,12,49,534,485
9,Roosters,24,12,0,12,24,578,554
10,Sharks,24,12,0,12,3,559,556
11,Dragons,20,10,0,14,-64,523,587
12,Knights,20,10,0,14,-89,363,452
13,Tigers,20,10,0,14,-104,480,584
14,Cowboys,19,9,1,14,-171,512,683
15,Eels,18,9,0,15,-147,445,592
16,Rabbitohs,18,9,0,15,-171,453,624
17,Titans,14,7,0,17,-238,492,730
