, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers, Bulldogs, Panthers
, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels, Warriors, Warriors, Eels, Eels
, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters, Storm, Storm, Storm, Storm, Roosters, Roosters, Roosters, Roosters
, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Raiders, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers, Tigers
, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Dragons, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly, Manly
, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Cowboys, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos, Broncos
, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Sharks, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights, Knights
, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Dolphins, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans, Titans
Storm, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Raiders, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Roosters, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
