Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Roosters,26,13,0,11,8,26,13,0,11,9.786290253289208,3.0723984081141973,12.858688661403406,0.6856587231683178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,Broncos,30,15,0,9,4,30,15,0,9,5.813326132311564,1.6633704192176186,7.476696551529184,1.9305488656831031,0.0,1.0,1.0,0.0,1.0,1.0,0.646604,0.385121,0
3,Sharks,30,15,0,9,5,30,15,0,9,4.579922936546316,2.020359734183651,6.600282670729967,1.5930945519855386,0.0,1.0,0.0,0.0,1.0,0.539058,0.300312,0.152655,4.6147761697238545
4,Panthers,27,13,1,10,7,27,13,1,10,1.6111038373731008,4.242623338884435,5.8537271762575385,-0.6554439710752249,0.0,1.0,0.0,0.0,1.0,0.453034,0.161937,0.08258,4.34158384208642
5,Storm,34,17,0,7,2,34,17,0,7,1.4254294830371474,3.5910895888278493,5.016519071864998,-2.101505675825782,0.0,1.0,1.0,0.0,1.0,1.0,0.486668,0.194976,0
6,Raiders,38,19,0,5,1,38,19,0,5,1.3518940934145902,3.2628820763092663,4.6147761697238545,-0.9211248682524991,0.0,1.0,1.0,1.0,1.0,0.460942,0.21302,0.08886,6.600282670729967
7,Bulldogs,32,16,0,8,3,32,16,0,8,-3.4920558231499874,7.833639665236406,4.34158384208642,0.46722479906320036,0.0,1.0,1.0,0.0,1.0,0.546966,0.191459,0.095808,5.8537271762575385
8,Eels,20,10,0,14,11,20,10,0,14,-0.8653476721836597,1.9549067085765606,1.089559036392901,2.6424574240198253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,Warriors,28,14,0,10,6,28,14,0,10,0.06303913381540527,0.5195205050878302,0.5825596389032373,0.18058484975527533,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,Manly,24,12,0,12,10,24,12,0,12,1.5929535134536006,-1.4672949104493904,0.1256586030042086,1.2734434071060898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,Dolphins,24,12,0,12,9,24,12,0,12,7.267723720333235,-7.665850480349738,-0.3981267600165026,-0.23660566758184012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,Cowboys,19,9,1,14,12,19,9,1,14,3.0427050629938153,-5.421154525822608,-2.3784494628287924,0.828285744709457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,Rabbitohs,18,9,0,15,14,18,9,0,15,-3.461179388238146,-1.7167518436463927,-5.177931231884537,0.6672343758582594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,Dragons,16,8,0,16,15,16,8,0,16,-1.503005404046395,-6.176972444775542,-7.679977848821936,-2.4299439069149393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,Tigers,18,9,0,15,13,18,9,0,15,-2.971148139925539,-4.743395194514566,-7.714543334440102,-0.754624551841785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,Titans,12,6,0,18,16,12,6,0,18,0.5724435900115508,-8.685096114032346,-8.112652524020794,0.5648480803396727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Knights,12,6,0,18,17,12,6,0,18,-4.43285927171002,-12.665510988173022,-17.09837025988304,-1.7115900459796058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
